Size,Runtime
5120,0.00591707
6144,0.00591493
7168,0.00591803
8192,0.00591588
10240,0.00591493
12288,0.00591588
14336,0.00591588
16384,0.00591588
20480,0.00595117
24576,0.00595093
28672,0.00595212
32768,0.00597501
40960,0.00592995
49152,0.00592995
57344,0.00592995
65536,0.00593090
81920,0.00592899
98304,0.00592995
114688,0.00592899
131072,0.00593114
163840,0.00592995
196608,0.00592995
229376,0.00592995
262144,0.00592995
327680,0.00593185
393216,0.00593114
458752,0.00593090
524288,0.00593090
655360,0.00592995
786432,0.00592995
917504,0.00593209
1048576,0.00592995
1310720,0.00593090
1572864,0.00593090
1835008,0.00593400
2097152,0.00593901
2621440,0.00594711
3145728,0.00596404
3670016,0.00598097
4194304,0.00599504
5242880,0.00598192
6291456,0.00598598
7340032,0.00599313
8388608,0.00600815
10485760,0.00599003
12582912,0.00599408
14680064,0.00599813
16777216,0.00599813
20971520,0.00598598
25165824,0.00598979
29360128,0.00600004
33554432,0.00599790
41943040,0.00600004
50331648,0.00598502
58720256,0.00598001
67108864,0.00600100
83886080,0.00600696
100663296,0.00598884
117440512,0.00599313
134217728,0.00599790
167772160,0.00600219
201326592,0.00599790
234881024,0.00600791
268435456,0.00598693
335544320,0.00599408
402653184,0.00600505
469762048,0.00599885
536870912,0.00598693
671088640,0.00599313
805306368,0.00599694
939524096,0.00599718
1073741824,0.00599504
