Size,Runtime
5120,0.00591397
6144,0.00591993
7168,0.00591803
8192,0.00591588
10240,0.00591898
12288,0.00591493
14336,0.00591707
16384,0.00591516
20480,0.00594115
24576,0.00594902
28672,0.00595188
32768,0.00597501
40960,0.00592613
49152,0.00592780
57344,0.00592899
65536,0.00592995
81920,0.00592709
98304,0.00592780
114688,0.00592613
131072,0.00592685
163840,0.00592494
196608,0.00592494
229376,0.00592494
262144,0.00592494
327680,0.00592494
393216,0.00592399
458752,0.00592494
524288,0.00592589
655360,0.00592589
786432,0.00592709
917504,0.00592589
1048576,0.00592494
1310720,0.00592685
1572864,0.00592589
1835008,0.00593090
2097152,0.00593090
2621440,0.00594711
3145728,0.00595498
3670016,0.00596619
4194304,0.00598288
5242880,0.00597405
6291456,0.00597501
7340032,0.00598884
8388608,0.00597000
