Size,Runtime
5120,0.00592613
6144,0.00592089
7168,0.00591707
8192,0.00591803
10240,0.00591898
12288,0.00591612
14336,0.00591803
16384,0.00591588
20480,0.00594497
24576,0.00593591
28672,0.00594902
32768,0.00597000
40960,0.00592899
49152,0.00592780
57344,0.00592899
65536,0.00593090
81920,0.00593114
98304,0.00593090
114688,0.00592899
131072,0.00593090
163840,0.00592899
196608,0.00592804
229376,0.00592709
262144,0.00592804
327680,0.00592685
393216,0.00592685
458752,0.00592709
524288,0.00592685
655360,0.00592899
786432,0.00592899
917504,0.00592899
1048576,0.00592995
1310720,0.00593090
1572864,0.00592995
1835008,0.00592899
2097152,0.00593209
2621440,0.00594401
3145728,0.00596118
3670016,0.00596595
4194304,0.00598192
5242880,0.00597405
6291456,0.00598097
7340032,0.00598407
8388608,0.00598788
