Size,Runtime
5120,0.00592208
6144,0.00591993
7168,0.00591803
8192,0.00591493
10240,0.00591898
12288,0.00591588
14336,0.00591707
16384,0.00591493
20480,0.00593090
24576,0.00593996
28672,0.00593901
32768,0.00596309
40960,0.00592494
49152,0.00592613
57344,0.00592709
65536,0.00592709
81920,0.00592780
98304,0.00592589
114688,0.00592399
131072,0.00592494
163840,0.00592399
196608,0.00592613
229376,0.00592399
262144,0.00592518
327680,0.00592399
393216,0.00592399
458752,0.00592399
524288,0.00592589
655360,0.00592494
786432,0.00592685
917504,0.00592494
1048576,0.00592399
1310720,0.00592780
1572864,0.00592709
1835008,0.00593090
2097152,0.00593209
2621440,0.00594902
3145728,0.00597191
3670016,0.00597715
4194304,0.00598407
5242880,0.00599098
6291456,0.00597715
7340032,0.00599098
8388608,0.00599003
10485760,0.00599790
12582912,0.00598407
14680064,0.00598598
16777216,0.00599098
20971520,0.00599813
25165824,0.00600195
29360128,0.00599408
33554432,0.00599194
41943040,0.00598598
50331648,0.00600100
58720256,0.00599384
67108864,0.00599909
83886080,0.00601506
100663296,0.00598502
117440512,0.00599003
134217728,0.00600386
167772160,0.00599098
201326592,0.00599790
234881024,0.00599003
268435456,0.00600600
335544320,0.00600290
402653184,0.00598383
469762048,0.00598788
536870912,0.00598907
671088640,0.00600505
805306368,0.00600696
939524096,0.00598884
1073741824,0.00600481
