Size,Runtime
5120,0.00592613
6144,0.00592089
7168,0.00591803
8192,0.00591493
10240,0.00591803
12288,0.00591493
14336,0.00591683
16384,0.00591612
20480,0.00594091
24576,0.00594306
28672,0.00595093
32768,0.00595903
40960,0.00592995
49152,0.00593305
57344,0.00593305
65536,0.00593400
81920,0.00593090
98304,0.00593090
114688,0.00592995
131072,0.00592995
163840,0.00592780
196608,0.00592780
229376,0.00592804
262144,0.00592804
327680,0.00592780
393216,0.00592780
458752,0.00592899
524288,0.00592995
655360,0.00592995
786432,0.00592995
917504,0.00592995
1048576,0.00592995
1310720,0.00592995
1572864,0.00593090
1835008,0.00592995
2097152,0.00593114
2621440,0.00595093
3145728,0.00595379
3670016,0.00596094
4194304,0.00598884
5242880,0.00597382
6291456,0.00598311
7340032,0.00597310
8388608,0.00598502
