Size,Runtime
5120,0.00591397
6144,0.00590992
7168,0.00591707
8192,0.00591493
10240,0.00591183
12288,0.00591493
14336,0.00591302
16384,0.00591493
20480,0.00594401
24576,0.00594997
28672,0.00595093
32768,0.00594687
40960,0.00592589
49152,0.00592494
57344,0.00592494
65536,0.00592613
81920,0.00592399
98304,0.00592589
114688,0.00592399
131072,0.00592589
163840,0.00592494
196608,0.00592494
229376,0.00592399
262144,0.00592494
327680,0.00592399
393216,0.00592589
458752,0.00592685
524288,0.00592709
655360,0.00592804
786432,0.00592804
917504,0.00592685
1048576,0.00592780
1310720,0.00592780
1572864,0.00592804
1835008,0.00593209
2097152,0.00593281
2621440,0.00594902
3145728,0.00596189
3670016,0.00596809
4194304,0.00598407
5242880,0.00597692
6291456,0.00597286
7340032,0.00600290
8388608,0.00599813
