Size,Runtime
5120,0.00591302
6144,0.00590992
7168,0.00590801
8192,0.00591588
10240,0.00591207
12288,0.00591493
14336,0.00591278
16384,0.00591493
20480,0.00594091
24576,0.00594592
28672,0.00594997
32768,0.00595593
40960,0.00593090
49152,0.00593114
57344,0.00592995
65536,0.00593305
81920,0.00592995
98304,0.00592995
114688,0.00592899
131072,0.00593090
163840,0.00592899
196608,0.00592899
229376,0.00592899
262144,0.00592899
327680,0.00592780
393216,0.00592804
458752,0.00592995
524288,0.00592780
655360,0.00592780
786432,0.00592899
917504,0.00593019
1048576,0.00592804
1310720,0.00592804
1572864,0.00592804
1835008,0.00592899
2097152,0.00593495
2621440,0.00595307
3145728,0.00595903
3670016,0.00597906
4194304,0.00599003
5242880,0.00598907
6291456,0.00598693
7340032,0.00599408
8388608,0.00599694
10485760,0.00601983
12582912,0.00600195
14680064,0.00599194
16777216,0.00599694
20971520,0.00599694
25165824,0.00599289
29360128,0.00598598
33554432,0.00599504
41943040,0.00599885
50331648,0.00599098
58720256,0.00598884
67108864,0.00599885
83886080,0.00600386
100663296,0.00601315
117440512,0.00600600
134217728,0.00601101
167772160,0.00598598
201326592,0.00598788
234881024,0.00600410
268435456,0.00600505
335544320,0.00598884
402653184,0.00599694
469762048,0.00599098
536870912,0.00599599
671088640,0.00598812
805306368,0.00598693
939524096,0.00599289
1073741824,0.00599790
