Size,Runtime
5120,0.00591302
6144,0.00592089
7168,0.00591707
8192,0.00591588
10240,0.00591803
12288,0.00591588
14336,0.00591779
16384,0.00591612
20480,0.00594401
24576,0.00594401
28672,0.00594306
32768,0.00596595
40960,0.00593019
49152,0.00592899
57344,0.00593090
65536,0.00592899
81920,0.00592709
98304,0.00592685
114688,0.00592589
131072,0.00592589
163840,0.00592399
196608,0.00592279
229376,0.00592399
262144,0.00592303
327680,0.00592399
393216,0.00592303
458752,0.00592399
524288,0.00592399
655360,0.00592613
786432,0.00592494
917504,0.00592494
1048576,0.00592494
1310720,0.00592804
1572864,0.00592995
1835008,0.00592804
2097152,0.00593305
2621440,0.00595093
3145728,0.00595713
3670016,0.00597310
4194304,0.00597000
5242880,0.00596881
6291456,0.00596905
7340032,0.00597215
8388608,0.00596809
