Size,Runtime
5120,0.00591397
6144,0.00591016
7168,0.00591707
8192,0.00591493
10240,0.00591183
12288,0.00591683
14336,0.00591302
16384,0.00591707
20480,0.00591588
24576,0.00594902
28672,0.00594997
32768,0.00597501
40960,0.00592589
49152,0.00592685
57344,0.00592685
65536,0.00592804
81920,0.00592589
98304,0.00592685
114688,0.00592494
131072,0.00592494
163840,0.00592589
196608,0.00592494
229376,0.00592494
262144,0.00592518
327680,0.00592518
393216,0.00592399
458752,0.00592399
524288,0.00592399
655360,0.00592399
786432,0.00592399
917504,0.00592494
1048576,0.00592399
1310720,0.00592399
1572864,0.00592399
1835008,0.00592589
2097152,0.00592899
2621440,0.00594115
3145728,0.00596285
3670016,0.00597286
4194304,0.00598216
5242880,0.00597906
6291456,0.00597906
7340032,0.00598812
8388608,0.00599289
10485760,0.00599909
12582912,0.00599217
14680064,0.00598812
16777216,0.00599885
20971520,0.00598693
25165824,0.00599313
29360128,0.00599194
33554432,0.00599194
41943040,0.00599980
50331648,0.00598407
58720256,0.00598884
67108864,0.00599098
83886080,0.00598598
100663296,0.00598598
117440512,0.00599194
134217728,0.00599909
167772160,0.00599098
201326592,0.00598788
234881024,0.00599599
268435456,0.00599885
335544320,0.00599289
402653184,0.00599504
469762048,0.00599480
536870912,0.00599694
671088640,0.00598788
805306368,0.00599718
939524096,0.00599504
1073741824,0.00599003
