Size,Runtime
5120,0.00591493
6144,0.00590897
7168,0.00590801
8192,0.00591397
10240,0.00591111
12288,0.00591493
14336,0.00591302
16384,0.00591493
20480,0.00591493
24576,0.00595188
28672,0.00599599
32768,0.00601792
40960,0.00710607
49152,0.00774097
57344,0.00820613
65536,0.00851583
81920,0.00894713
98304,0.00924301
114688,0.00946403
131072,0.01007795
163840,0.00980687
196608,0.00999808
229376,0.01089382
262144,0.01211882
327680,0.01531887
393216,0.01671600
458752,0.01829791
524288,0.01954699
655360,0.02132106
786432,0.02240014
917504,0.02324009
1048576,0.02381301
1310720,0.02465796
1572864,0.02570105
1835008,0.02691507
2097152,0.02803683
2621440,0.03114104
3145728,0.03626299
3670016,0.04324889
4194304,0.04958105
5242880,0.06005287
6291456,0.06737900
7340032,0.07315993
8388608,0.07765818
10485760,0.08207917
12582912,0.08498406
14680064,0.08714414
16777216,0.08922696
20971520,0.09219098
25165824,0.09415603
29360128,0.09542298
33554432,0.09676290
41943040,0.09902310
50331648,0.10037398
58720256,0.10160995
67108864,0.10324407
83886080,0.10537505
100663296,0.10725188
117440512,0.10875797
134217728,0.11020994
167772160,0.11185384
201326592,0.11424398
234881024,0.11388898
268435456,0.11444116
335544320,0.11559200
402653184,0.11637306
469762048,0.11695814
536870912,0.11740494
671088640,0.11831021
805306368,0.11978102
939524096,0.12085009
1073741824,0.12267590
