Size,Runtime
5120,0.00591421
6144,0.00590897
7168,0.00591683
8192,0.00591397
10240,0.00591111
12288,0.00591516
14336,0.00591302
16384,0.00591493
20480,0.00591516
24576,0.00596595
28672,0.00600791
32768,0.00602698
40960,0.00709701
49152,0.00772691
57344,0.00816488
65536,0.00851893
81920,0.00895691
98304,0.00923586
114688,0.00946712
131072,0.00961089
163840,0.00981402
196608,0.00995588
229376,0.01015496
262144,0.01044083
327680,0.01418781
393216,0.01666093
458752,0.01829195
524288,0.01956081
655360,0.02129698
786432,0.02239084
917504,0.02321982
1048576,0.02378702
1310720,0.02463698
1572864,0.02516890
1835008,0.02561498
2097152,0.02595091
2621440,0.02962303
3145728,0.03613806
3670016,0.04165411
4194304,0.04904795
5242880,0.05907202
6291456,0.06662202
7340032,0.07220697
8388608,0.07654595
