Size,Runtime
5120,0.00591707
6144,0.00590920
7168,0.00590777
8192,0.00591493
10240,0.00591183
12288,0.00591397
14336,0.00591278
16384,0.00591493
20480,0.00591493
24576,0.00592208
28672,0.00601602
32768,0.00601792
40960,0.00710297
49152,0.00774384
57344,0.00819016
65536,0.00853682
81920,0.00895000
98304,0.00924182
114688,0.00946593
131072,0.00961185
163840,0.00981498
196608,0.00994897
229376,0.01007700
262144,0.01021910
327680,0.01415420
393216,0.01664090
458752,0.01830602
524288,0.01954603
655360,0.02129292
786432,0.02238393
917504,0.02323484
1048576,0.02380395
1310720,0.02464986
1572864,0.02518415
1835008,0.02561593
2097152,0.02629018
2621440,0.02883792
3145728,0.03489399
3670016,0.04125309
4194304,0.04833412
5242880,0.06008196
6291456,0.06755114
7340032,0.07206988
8388608,0.07632804
