Size,Runtime
5120,0.00591493
6144,0.00592113
7168,0.00591803
8192,0.00591397
10240,0.00591803
12288,0.00591493
14336,0.00591683
16384,0.00591803
20480,0.00596213
24576,0.00599718
28672,0.00595784
32768,0.00603700
40960,0.00710702
49152,0.00774097
57344,0.00820994
65536,0.00853395
81920,0.00895810
98304,0.00924301
114688,0.00946903
131072,0.00962186
163840,0.00981307
196608,0.00995016
229376,0.01008797
262144,0.01042795
327680,0.01420403
393216,0.01663399
458752,0.01830602
524288,0.01958609
655360,0.02129793
786432,0.02236295
917504,0.02324200
1048576,0.02379203
1310720,0.02465677
1572864,0.02515507
1835008,0.02605391
2097152,0.02668285
2621440,0.03116608
3145728,0.03701091
3670016,0.04224396
4194304,0.04917192
5242880,0.05959082
6291456,0.06664300
7340032,0.07123709
8388608,0.07542801
