Size,Runtime
5120,0.00592494
6144,0.00591993
7168,0.00591683
8192,0.00591588
10240,0.00591803
12288,0.00591588
14336,0.00591803
16384,0.00591493
20480,0.00594497
24576,0.00599408
28672,0.00601816
32768,0.00604606
40960,0.00710702
49152,0.00775886
57344,0.00821090
65536,0.00852990
81920,0.00895500
98304,0.00924301
114688,0.00946784
131072,0.00962710
163840,0.00981784
196608,0.00995111
229376,0.01007199
262144,0.01044416
327680,0.01419401
393216,0.01665092
458752,0.01832700
524288,0.01957417
655360,0.02131009
786432,0.02237797
917504,0.02321601
1048576,0.02380204
1310720,0.02465296
1572864,0.02518582
1835008,0.02564597
2097152,0.02662897
2621440,0.03084207
3145728,0.03481603
3670016,0.04054809
4194304,0.04855800
5242880,0.05911398
6291456,0.06659198
7340032,0.07219601
8388608,0.07616091
