Size,Runtime
5120,0.00592685
6144,0.00591993
7168,0.00591707
8192,0.00591493
10240,0.00591898
12288,0.00591493
14336,0.00591803
16384,0.00591493
20480,0.00591493
24576,0.00597119
28672,0.00599313
32768,0.00603700
40960,0.00710702
49152,0.00776386
57344,0.00819707
65536,0.00852799
81920,0.00895190
98304,0.00923800
114688,0.00947189
131072,0.00962114
163840,0.00981712
196608,0.01025414
229376,0.01090002
262144,0.01169205
327680,0.01425004
393216,0.01656890
458752,0.01821709
524288,0.01951814
655360,0.02127194
786432,0.02240300
917504,0.02321506
1048576,0.02380109
1310720,0.02464914
1572864,0.02520394
1835008,0.02606797
2097152,0.02647209
2621440,0.02818704
3145728,0.03361702
3670016,0.04037595
4194304,0.04790401
5242880,0.05977607
6291456,0.06685996
7340032,0.07131600
8388608,0.07575703
