Size,Runtime
5120,0.00592589
6144,0.00591993
7168,0.00591779
8192,0.00591516
10240,0.00591898
12288,0.00591516
14336,0.00591683
16384,0.00591493
20480,0.00599480
24576,0.00600386
28672,0.00604701
32768,0.00607085
40960,0.00711608
49152,0.00777102
57344,0.00820780
65536,0.00853300
81920,0.00896192
98304,0.00925994
114688,0.00947690
131072,0.00962996
163840,0.00981808
196608,0.00997996
229376,0.01017189
262144,0.01045203
327680,0.01411200
393216,0.01661301
458752,0.01831698
524288,0.01958704
655360,0.02129602
786432,0.02238894
917504,0.02323008
1048576,0.02377987
1310720,0.02464294
1572864,0.02518988
1835008,0.02568507
2097152,0.02639198
2621440,0.03000689
3145728,0.03602600
3670016,0.04070807
4194304,0.04787302
5242880,0.05942798
6291456,0.06685114
7340032,0.07125401
8388608,0.07544804
