Size,Runtime
5120,0.00591397
6144,0.00592089
7168,0.00591707
8192,0.00591493
10240,0.00591803
12288,0.00591493
14336,0.00591707
16384,0.00591397
20480,0.00593400
24576,0.00599790
28672,0.00598192
32768,0.00603485
40960,0.00711608
49152,0.00775504
57344,0.00820589
65536,0.00854516
81920,0.00895691
98304,0.00924706
114688,0.00946903
131072,0.00962210
163840,0.00981903
196608,0.01025701
229376,0.01090693
262144,0.01131201
327680,0.01446295
393216,0.01661897
458752,0.01827502
524288,0.01957393
655360,0.02127695
786432,0.02238083
917504,0.02322316
1048576,0.02379799
1310720,0.02499509
1572864,0.02594209
1835008,0.02654719
2097152,0.02714205
2621440,0.02969694
3145728,0.03549814
3670016,0.04122305
4194304,0.04861188
5242880,0.05972290
6291456,0.06688118
7340032,0.07143807
8388608,0.07588601
10485760,0.08107305
12582912,0.08481121
14680064,0.08714414
16777216,0.08864403
20971520,0.09058499
25165824,0.09267306
29360128,0.09445596
33554432,0.09605598
41943040,0.09780097
50331648,0.09935594
58720256,0.10089302
67108864,0.10156798
83886080,0.10444808
100663296,0.10659814
117440512,0.10793686
134217728,0.10916686
167772160,0.11104703
201326592,0.11217999
234881024,0.11297798
268435456,0.11370516
335544320,0.11463690
402653184,0.11547184
469762048,0.11608601
536870912,0.11644197
671088640,0.11783600
805306368,0.11875391
939524096,0.12107611
1073741824,0.14511585
