Size,Runtime
5120,0.00591516
6144,0.00590992
7168,0.00590801
8192,0.00591493
10240,0.00591111
12288,0.00591493
14336,0.00591183
16384,0.00591493
20480,0.00593090
24576,0.00596189
28672,0.00598598
32768,0.00600195
40960,0.00710607
49152,0.00773692
57344,0.00819588
65536,0.00852799
81920,0.00894594
98304,0.00923800
114688,0.00946379
131072,0.00961494
163840,0.00981402
196608,0.00995803
229376,0.01007390
262144,0.01043105
327680,0.01416588
393216,0.01664495
458752,0.01832485
524288,0.01957297
655360,0.02127218
786432,0.02238607
917504,0.02321100
1048576,0.02378511
1310720,0.02464700
1572864,0.02520204
1835008,0.02639008
2097152,0.02663708
2621440,0.02864289
3145728,0.03502393
3670016,0.04116201
4194304,0.04782414
5242880,0.05972409
6291456,0.06679010
7340032,0.07128787
8388608,0.07565689
